Record ID,Object Title,Registration Number,Description.,Marks,Production Date,Provenance (Production),Provenance (History),Categories,Persistent Link,Height,Width,Depth,License info
267220,"Rocket motor on loan from Roswell Museum and Art Center, USA",L2106-3/1,"Rocket motor, liquid fuelled combustion chamber, steel / aluminium wrapped tubes with insulation, included in flight of Dec 26 1928, Robert H Goddard, USA, 1928 (Roswell Acc No: 1958-28-12)",,,,,,http://www.powerhousemuseum.com/collection/database/?irn=267220,990 mm,380 mm,350 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=267220#_cc-by-sa_content"">CC BY-SA</a>."
346260,"Fragment of moon rock on loan from National Aeronautics and Space Administration (NASA), USA",L4115/1,"Fragment of lunar sample (moon rock), NASA No.61016.116 (011) and box, weight of rock 89 grams, collected by Apollo 16 crewmember Charles Duke on the east rim of Plum Crater 30 meters west north of the landing site, 1972. This fragment is 3.9 billion years old. This is older than most of the surface rock on earth. The rock is beccia, fragments held together by a cementing substance.",,,,,Mineral Samples-Geological,http://www.powerhousemuseum.com/collection/database/?irn=346260,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=346260#_cc-by-sa_content"">CC BY-SA</a>."
267098,"F-1 rocket engine on loan from National Air and Space Museum (NASM), USA",L2045-3,F-1 rocket engine (NASM 5311 Cat:1976-0769),,,,,,http://www.powerhousemuseum.com/collection/database/?irn=267098,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=267098#_cc-by-sa_content"">CC BY-SA</a>."
267071,"Shuttle garment worn by Dr P Scully-Power on loan from National Aeronautics and Space Administration (NASA), USA, 1984",L2044-13,"Protective clothing, space shuttle 'In-Flight Coverall Garment' P/N10108-10055-01, S/N, N/A, with name tag P/N ST10T836-01, cotton, used by Paul Scully-Power / made for NASA, USA, 1984 (NASA: ART 2916/4278)",,1984,"Maker: National Aeronautics and Space Administration (NASA); Florida, USA; 1984|","User: Scully-Power, Paul; Florida, USA; 1984|",Spacesuits,http://www.powerhousemuseum.com/collection/database/?irn=267071,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=267071#_cc-by-sa_content"">CC BY-SA</a>."
266434,"Replica Manned Manned Manoeuvring Unit (MMU) on loan from Lockheed Martin Space Systems Company, USA, 1984",L1879,"Model (full size replica), Manned Manoeuvring Unit (MMU), metal, Martin Marietta Aeronautics Group, USA, [1984]",,1984,"Designer: Martin Marietta Aeronautics Group; Maryland, USA; 1984|",,Spacecraft|Models|Space Technology,http://www.powerhousemuseum.com/collection/database/?irn=266434,1250 mm,1210 mm,830 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=266434#_cc-by-sa_content"">CC BY-SA</a>."
331336,"Mural, Zheng He and Columbus by Guan Wei, 2006 - 2007",5/01/10,"Mural painting, 'Zheng He and Columbus', acrylic on medium density fibre board (MDF), painted by Guan Wei for the exhibition, 'Other histories:Guan Wei's fable for a contemporary world', Powerhouse Museum, Sydney, New South Wales, Australia, 2006-2007 A mural depicting a section of the globe and constellation against a black background. This mural was painted in two parts on medium density fibre (MDF) board and needs to be displayed together. Two expeditionary ships are at the centre, the small boat symbolising the ship of Christopher Columbus (1451-1506) and the larger boat symbolising the ship of Zheng He (1371-1432). A hand and red arrow point to the left. The painting includes many human figures and a mysterious animal. This particular mural painting was displayed at the beginning of the exhibition as an introduction and shows discovery stories of Australia both by Zheng He(1371-1432) from the East and Christopher Columbus (1451-1506) from the West. It depicts constellations with a mysterious animal which allude to the Chinese percept of the connection between the Star of Longevity (Lao Shou Xing) and the Museum's object, the God of Longevity figurine (Shou Lao). In East Asia, the Canopus was believed to be the Star of Longevity. It was believed that this star came down to the earth and became the God of Longevity.",,2006 - 2007,: unknown; 2006 - 2007|,,Murals|Pictorials,http://www.powerhousemuseum.com/collection/database/?irn=331336,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=331336#_cc-by-sa_content"">CC BY-SA</a>."
402264,"Chocolate wrapping machine with foil samples, 1949",4/01/10,"Wrapping machine and samples of foil for wrapping chocolates (5), metal / plastic / timber / fabric belt / metal foil, machine made by Forgrove Machinery Co Ltd, Leeds, England, 1949, used by Dullo Chocolates at Zetland, New South Wales, Australia, 1997-2001 The machine is driven by a Crompton Parkinson electric motor. Before it is turned on, a reel of foil is installed on a timber spool and the end of the foil is fed into a cutting mechanism. Once the machine is on, the foil is fed automatically through the cutter, and rectangles of foil are positioned, one at a time, to receive individual chocolates. Chocolates are fed by hand continuously into a metal ring that rests on a table; there are two rings with the machine, one holding round-based chocolates and the other holding triangular-based chocolates. The ring revolves to present each chocolate in turn to a rod that sits below the table. The rod pushes the chocolate up to the foil, which is wrapped around it. A small set of jaws grabs the wrapped chocolate and feeds it under a foam plastic roller, which gently tamps it to complete the operation. The step-wise action of the machine is controlled by a cam, which actuates a horizontal Geneva wheel. Many parts of the machine are painted dark red.",Cast into a horizontal structural member: FORGROVE MACHINERY CO LTD PATENT LEEDS. On a plate attached to the motor: Crompton Parkinson.,1949,: unknown; 1949|,,Machines|Industrial Machinery and Equipment,http://www.powerhousemuseum.com/collection/database/?irn=402264,1240 mm,1020 mm,550 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=402264#_cc-by-sa_content"">CC BY-SA</a>."
402292,"Cocktail dress by Christian Dior, 1949",3/01/10,"Cocktail dress, womens, wool / silk, Moulin Ã  Vent collection, designed by Christian Dior and made by the House of Dior in Paris, France for the fall/winter 1949-1950 collection Black wool and silk moire cocktail dress. Sleeveless fitted bodice in black wool with V neckline and black silk moire revers. Centre front opening to waist fastening across to left side with hooks, eyes and press studs. Inside back of bodice has three covered circular weights (one weight is missing). Skirt appears to be very full but is built around a central slim fitting black wool skirt from which radiate four triangular 'flying' panels in black silk moire backed with black wool. Two of the flying panels are constructed so that they appear to be threaded through the wool skirt. The flying panels evoke the moving blades of a windmill, the inspiration for Dior's Moulin Ã  Vent collection. Skirt features black silk lining with centre front zipper and an inner lining fastening at centre front with hooks and eyes. Dress has separate black silk moire under bodice with fine shoulder straps and centre back hook and eye fastening.","Cocktail dress has embroidered label inside back neckline 'Christian Dior Paris A4039, Made in France' Underbodice labelled 'Made in France'.",1949,: unknown; 1949|,,Cocktail dresses|Clothing and Dress,http://www.powerhousemuseum.com/collection/database/?irn=402292,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=402292#_cc-by-sa_content"">CC BY-SA</a>."
404642,Black platform sandals designed by Yohji Yamamoto for Adidas,2/01/10,"Sandals (pair), womens, synthetic rubber / polyester based polyurethane / nylon, designed by Yohji Yamamoto for Adidas, designed in Japan, made in China, 1990s, owned by Gene Sherman, Sydney, New South Wales, Australia, 2004-2007 A pair of sandals with thick flat platform synthetic rubber soles and nylon vamp, which extends to the ankle with cut away heel and y-shaped strap at the toes. There are four red circles arranged in a vertical line on the sole surrounded by raised squares with rounded edges for tread and cotton stitching.",'adidas' in red circles on soles. A sticker attached to one of the red circles reads 'MADE IN CHINA' with size 7 and style/production details below. 'Yohji Yamamoto' signature on side of sandals.,,,,Sandals|Clothing and Dress,http://www.powerhousemuseum.com/collection/database/?irn=404642,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404642#_cc-by-sa_content"">CC BY-SA</a>."
403026,"Advertising photogravures (2), Lotto., 1985 - 1995",2010/16/5,"Advertising photogravures (2), Lotto, metal, maker unknown, used by NSW Lotteries, Australia, c.1990 Two photogravure printing plates for Lotto point-of-sale signs.",,1985 - 1995,: unknown; 1985 - 1995|,,Signs|Recreational and Sporting Equipment,http://www.powerhousemuseum.com/collection/database/?irn=403026,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=403026#_cc-by-sa_content"">CC BY-SA</a>."
