FishTaxonCode,Family or Higher Order name(s),Other scientific and common name(s),Edibility Ranking,"Comments on seasonality, abundance, habitat, fishing methods and cultural/economic value (Oct 2009)",Status of collections and archaeological examples (Oct 2009),Images in digital archive Oct 2009?,Is this a Sydney Habour taxon?,"Has taxon been found on archaeological sites relevant to Sydney, Oct 2009?",Is taxon described in the Fisheries Inquiry Commission 1880 report?
ANG-AN-AU,"Family Anguillidae, Freshwater Eels","Anguilla australis, Shortfin Eel",3,"Seasonally common. Adults move from freshwater to the sea to spawn in winter, while juveniles move from the sea to estuaries and fresh-water in late autumn and spring. Seasonal abundance and catch varies with location. 1880 Fisheries Commission Report mentions these are common but only caught by accident when looking for other fishes, and Europeans did not catch them deliberately. Well-known Aboriginal eel fishing in Victoria indicates they can be important indigenous food and also esteemed in other parts of the world.",Eel only identified to Family and genus in the archaeological record for Sydney. Image of this species in archive at Oct 2009.Useful to try to distinguish between this and the one other Sydney species A. reinhardtii (see below). Merits further attention.,Yes,Yes,No,Yes 
ANG-AN-RE,"Family Anguillidae, Freshwater Eels","Anguilla reinhardtii, Longfinned Eel",3,"Seasonally common. Adults move from freshwater to the sea to spawn in winter, while juveniles move from the sea to estuaries and fresh-water in late autumn and spring. Seasonal abundance and catch varies with location. 1880 Fisheries Commission Report mentions these are common but only caught by accident when looking for other fishes, and Europeans did not catch them deliberately. Well-known Aboriginal eel fishing in Victoria indicates they can be important indigenous food and also esteemed in other parts of the world. A. reinhardtii is main commercial species in 20th century.",See entries for ANG-NFI and ANG-AN-AU. Merits further attention.,Yes,Yes,No,No (Family only)
ANG-AN-SP,"Family Anguillidae, Freshwater Eels","Anguilla sp., Freshwater Eel (not further identified)",3,"Seasonally common. Adults move from freshwater to the sea to spawn in winter, while juveniles move from the sea to estuaries and fresh-water in late autumn and spring. Seasonal abundance and catch varies with location. 1880 Fisheries Commission Report mentions these are common but only caught by accident when looking for other fishes, and Europeans did not catch them deliberately. Well-known Aboriginal eel fishing in Victoria indicates they can be important indigenous food and also esteemed in other parts of the world.","Examples from archaeological record only identified to genus at this stage. Found on Aboriginal sites elsewhere and recorded historically, elsewhere, as being important. Needs more work to try to identify taxon. Merits further attention.",Yes,Yes,Yes,Yes
ARR-AR-SP,"Family Arripidae, Australian Salmons","Arripis sp., Australian Salmon (not further identified)",2,Poiner (1976) lists Arripis trutta as occurring from autumn to early spring (April to October). The 1880 Fisheries Commission report listed the family (of which two species are known from Sydney Harbour) as being inferior quality as food but that very large shoals appeared in the harbours around Sydney in the latter half of the winter (August-September?). They were considered to have an aesthetically pleasing appearance. An oily fish which deteriorated quickly and could make people sick.  The taxa may have had cultural significance to British as the European salmon and trout (Family Salmonidae) are highly esteemed and excellent eating. Presumably the British were hoping to find something similar in Australian waters. Arripis trutta (Eastern Australian Salmon) & Arripis georgianus (Australian Herring) recorded for Sydney Harbour by the Australian Museum web-site.,Examples of bones of this family have been found in archaeological sites Oct 2009. These have not yet been identified to species (only genus). Merits further attention.,Yes,Yes,Yes,Yes
ARR-AR-TR,"Family Arripidae, Australian Salmons","Arripis trutta, Eastern Australian Salmon",2,"The Family Arripidae (Australian salmons) is mentioned in the 1880 Fisheries Commission report but not this particular Sydney species.  The species is edible but, according to the 1880 report, nothing special. Poiner (1976) lists Arripis trutta as occurring from autumn to early spring (April to October). The 1880 Fisheries Commission report listed the family (of which two species are known from Sydney Harbour) as being inferior quality as food but that very large shoals appeared in the harbours around Sydney in the latter half of the winter (August-September?). They were considered to have an aesthetically pleasing appearance. An oily fish which deteriorated quickly and could make people sick.  The taxa may have had cultural significance to British as the European salmon and trout (Family Salmonidae) are highly esteemed and excellent eating. Presumably the British were hoping to find something similar in Australian waters. ",See comments about Family Arripidae. Merits further attention.,Yes,Yes,Yes,Yes
AUL-AU-PU,"Family Aulopidae, Sergeant Bakers","Aulopus purpurissatus, Sergeant Baker",1,1880 Fisheries Commission Report states this is a deep sea fish frequently taken by hook in 'schnapper grounds' in summer and described as excellent eating. However Hutchins and Swainston (1986) rank it as 'poor eating'.,No archaeological examples identified Oct 2009 and no images in the archive. Low priority.,No,Yes,No,Yes
BAL-NFI,"Family Balistidae, Triggerfishes","Family Balistidae, Triggerfishes (not further identified)",0,"Not an edible food fish. Included because the bones are distinctive and robust and likely to survive and be recognised in archaeological sites. The Australian Museum web-site notes two species for Sydney Harbour, both close to their southern limits as this is a tropical family. The family has very distinctive teeth and spines (similar to Monacanthidae) which are common in  other archaeological sites. Not listed by Hutchins and Swainston (1986) as an edible fish. Not mentioned in the 1880 Fisheries Commission Report.","Not identified in Sydney archaeological sites and no images in the archive at Oct 2009. Would be useful to have reference specimens/archive images of Sydney taxa to fill a gap, though less important than other groups at this stage. Likely to be found in archaeological contexts as has robust and distinctive bones.",No,Yes,No,No
BEL-ST-LE,"Family Belonidae, Longtoms","Strongylura leiura, Slender Longtom",2,1880 Fisheries Commission Report describes this as a good fish but not as fashionable as the garfish and only caught in the net. Australian Museum web-site lists three species for Sydney Harbour. The taxon mentioned in the 1880 Fisheries Commission Report has been re-classified.,No archaeological examples have been found at Oct 2009 and none of the Sydney species were in the ANU or USyD collections. No images in the archive. This gap needs to be filled. Merits further attention.,No,Yes,No,Yes
BEL-TY-AC,"Family Belonidae, Longtoms","Tylosurus acus, Longtom",2,Not a Sydney taxon.,Not a Sydney species but this specimen from the ANU reference collection has images included in the archive to assist identify bones to Family in the absence of any Sydney taxa. Merits further attention.,Yes,No,No,No (Family only)
BER-CE-AF,"Family Berycidae, Alfonsinos","Centroberyx affinis, Nannygai",3,"1880 Fisheries Commission Report states this fish appears after the commencement of the warm season (from October onwards?) and is rarely taken during the winter months (June to August). It is a deep sea fish taken by hook and line. Sometimes large numbers are taken together. Fishermen never seek it and it is only caught accidentally when fishing for schnapper. Not a market fish. 1880 Fisheries Commission Report also states the Nannygai is good to eat ""As an edible fish it ranks high, indeed there are few better in the country; when slightly corned and smoked it is said to be a great delicacy'.",Have been found on archaeological sites and images are in the archive. ,Yes,Yes,Yes,Yes
